óﬂòaÇTîNìx ã≥â»ï ê¨ê—ï™ïzê}Åiñ{ééå±Åj,óﬂòa5îN2åé2ì˙,,,,,,,,,,,,,,,,,,,
ã≥â»ñº,ñûì_,ç≈çÇì_,ç≈í·ì_,ïΩãœì_,ïWèÄïŒç∑,éÛå±é“êî,ìæì_ó¶,ÇTï™ílÇeÇP,ÇTï™ílÇeÇQ,ÇTï™ílÇeÇR,ÇTï™ílÇeÇS,,,,,,,,,
çëÅ@åÍ,200,200,0,105.74,34.1,445358,0.5287,74,95,115,137,,,,,,,,,
ì_êî,êlêî,î‰ó¶ÅiÅìÅj,,,,,,,,,,,,,,,,,,
0,37,0.01,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,5,0,,,,,,,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,,,,,,,
4,6,0,,,,,,,,,,,,,,,,,,
5,3,0,,,,,,,,,,,,,,,,,,
6,6,0,,,,,,,,,,,,,,,,,,
7,5,0,,,,,,,,,,,,,,,,,,
8,17,0,,,,,,,,,,,,,,,,,,
9,13,0,,,,,,,,,,,,,,,,,,
10,16,0,,,,,,,,,,,,,,,,,,
11,18,0,,,,,,,,,,,,,,,,,,
12,13,0,,,,,,,,,,,,,,,,,,
13,31,0.01,,,,,,,,,,,,,,,,,,
14,31,0.01,,,,,,,,,,,,,,,,,,
15,50,0.01,,,,,,,,,,,,,,,,,,
16,44,0.01,,,,,,,,,,,,,,,,,,
17,62,0.01,,,,,,,,,,,,,,,,,,
18,68,0.02,,,,,,,,,,,,,,,,,,
19,82,0.02,,,,,,,,,,,,,,,,,,
20,95,0.02,,,,,,,,,,,,,,,,,,
21,92,0.02,,,,,,,,,,,,,,,,,,
22,141,0.03,,,,,,,,,,,,,,,,,,
23,139,0.03,,,,,,,,,,,,,,,,,,
24,193,0.04,,,,,,,,,,,,,,,,,,
25,221,0.05,,,,,,,,,,,,,,,,,,
26,268,0.06,,,,,,,,,,,,,,,,,,
27,251,0.06,,,,,,,,,,,,,,,,,,
28,338,0.08,,,,,,,,,,,,,,,,,,
29,314,0.07,,,,,,,,,,,,,,,,,,
30,353,0.08,,,,,,,,,,,,,,,,,,
31,428,0.1,*,,,,,,,,,,,,,,,,,
32,411,0.09,*,,,,,,,,,,,,,,,,,
33,495,0.11,*,,,,,,,,,,,,,,,,,
34,541,0.12,*,,,,,,,,,,,,,,,,,
35,635,0.14,*,,,,,,,,,,,,,,,,,
36,626,0.14,*,,,,,,,,,,,,,,,,,
37,784,0.18,*,,,,,,,,,,,,,,,,,
38,750,0.17,*,,,,,,,,,,,,,,,,,
39,886,0.2,*,,,,,,,,,,,,,,,,,
40,932,0.21,*,,,,,,,,,,,,,,,,,
41,1020,0.23,*,,,,,,,,,,,,,,,,,
42,1017,0.23,*,,,,,,,,,,,,,,,,,
43,1123,0.25,**,,,,,,,,,,,,,,,,,
44,1191,0.27,**,,,,,,,,,,,,,,,,,
45,1266,0.28,**,,,,,,,,,,,,,,,,,
46,1368,0.31,**,,,,,,,,,,,,,,,,,
47,1348,0.3,**,,,,,,,,,,,,,,,,,
48,1549,0.35,**,,,,,,,,,,,,,,,,,
49,1672,0.38,**,,,,,,,,,,,,,,,,,
50,1726,0.39,**,,,,,,,,,,,,,,,,,
51,1872,0.42,***,,,,,,,,,,,,,,,,,
52,1905,0.43,***,,,,,,,,,,,,,,,,,
53,1866,0.42,***,,,,,,,,,,,,,,,,,
54,2036,0.46,***,,,,,,,,,,,,,,,,,
55,2087,0.47,***,,,,,,,,,,,,,,,,,
56,2183,0.49,***,,,,,,,,,,,,,,,,,
