*** 令和５年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝445358,平均正答率＝0.5448,,,
科目＝国語,総平均点＝105.74,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,31.099,50,0.622,0.6514
1,1,1.787,2,0.8935,0.8935
1,2,1.481,2,0.7407,0.7407
1,3,1.782,2,0.8908,0.8908
1,4,1.239,2,0.6194,0.6194
1,5,1.122,2,0.5612,0.5612
1,6,4.879,7,0.697,0.697
1,7,4.981,7,0.7115,0.7115
1,8,3.29,7,0.47,0.47
1,9,3.746,7,0.5351,0.5351
1,10,1.693,4,0.4232,0.4232
1,11,2.929,4,0.7324,0.7324
1,12,2.17,4,0.5425,0.5425
2,合計,31.114,50,0.6223,0.6229
2,13,3.493,5,0.6987,0.6987
2,14,4.857,6,0.8096,0.8096
2,15,3.543,6,0.5905,0.5905
2,16,3.294,6,0.549,0.549
2,17,3.553,7,0.5076,0.5076
2,18,6.003,7,0.8575,0.8575
2,19,2.544,6,0.424,0.424
2,20,3.827,7,0.5467,0.5467
3,合計,21.867,50,0.4373,0.4215
3,21,1.741,5,0.3482,0.3482
3,22,1.78,5,0.356,0.356
3,23,0.817,5,0.1633,0.1633
3,24,3.049,7,0.4355,0.4355
3,25,2.757,7,0.3938,0.3938
3,26,3.168,7,0.4526,0.4526
3,27,4.255,7,0.6079,0.6079
3,28,4.3,7,0.6143,0.6143
4,合計,21.657,50,0.4331,0.4427
4,29,1.92,4,0.48,0.48
4,30,2.655,4,0.6638,0.6638
4,31,0.846,4,0.2114,0.2114
4,32,3.475,6,0.5792,0.5792
4,33,1.443,7,0.2062,0.2062
4,34,3.392,6,0.5653,0.5653
4,35,1.861,5,0.3721,0.3721
4,36,3.556,6,0.5927,0.5927
4,37,2.509,8,0.3136,0.3136
問題区分＝本試験,人数＝1271,平均正答率＝0.3655,,,
科目＝世界史Ａ,総平均点＝36.32,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,7.485,20,0.3742,0.3809
1,1,1.139,4,0.2848,0.2848
1,2,0.595,3,0.1983,0.1983
1,3,1.393,3,0.4642,0.4642
1,4,1.372,4,0.343,0.343
1,5,1.91,3,0.6365,0.6365
1,6,1.076,3,0.3588,0.3588
2,合計,10.792,30,0.3597,0.3599
2,7,1.473,3,0.491,0.491
2,8,1.253,3,0.4178,0.4178
2,9,1.253,4,0.3131,0.3131
2,10,0.984,3,0.3281,0.3281
2,11,0.98,3,0.3265,0.3265
2,12,1.284,4,0.321,0.321
2,13,0.751,3,0.2502,0.2502
2,14,1.055,3,0.3517,0.3517
2,15,1.759,4,0.4398,0.4398
3,合計,9.692,30,0.3231,0.3267
3,16,1.158,4,0.2895,0.2895
3,17,0.739,3,0.2463,0.2463
3,18,0.713,3,0.2376,0.2376
3,19,0.97,3,0.3234,0.3234
3,20,1.985,3,0.6617,0.6617
3,21,1.869,4,0.4673,0.4673
3,22,0.456,4,0.1141,0.1141
3,23,0.845,3,0.2817,0.2817
3,24,0.956,3,0.3186,0.3186
4,合計,8.349,20,0.4174,0.4169
4,25,0.876,3,0.2919,0.2919
4,26,2.436,4,0.609,0.609
4,27,1.404,3,0.4681,0.4681
4,28,0.944,4,0.236,0.236
4,29,1.381,3,0.4603,0.4603
4,30,1.308,3,0.4359,0.4359
問題区分＝本試験,人数＝78185,平均正答率＝0.5833,,,
科目＝世界史Ｂ,総平均点＝58.43,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,7.409,16,0.4631,0.4713
1,1,1.202,3,0.4006,0.4006
1,2,1.289,2,0.6444,0.6444
1,3,1.002,3,0.334,0.334
1,4,2.018,3,0.6726,0.6726
1,5,1.041,3,0.3468,0.3468
1,6,0.858,2,0.4291,0.4291
2,合計,11.814,18,0.6563,0.6563
2,7,1.681,3,0.5603,0.5603
2,8,2.123,3,0.7076,0.7076
2,9,2.046,3,0.6821,0.6821
2,10,1.78,3,0.5933,0.5933
2,11,1.935,3,0.6449,0.6449
2,12,2.249,3,0.7498,0.7498
3,合計,14.358,24,0.5983,0.5983
3,13,1.702,3,0.5672,0.5672
3,14,1.833,3,0.6109,0.6109
3,15,1.83,3,0.6099,0.6099
3,16,1.883,3,0.6278,0.6278
3,17,1.89,3,0.6299,0.6299
3,18,1.441,3,0.4803,0.4803
3,19,2.122,3,0.7073,0.7073
3,20,1.658,3,0.5528,0.5528
4,合計,13.104,24,0.546,0.546
4,21,1.885,3,0.6282,0.6282
4,22,1.338,3,0.4459,0.4459
4,23,1.879,3,0.6262,0.6262
4,24,1.604,3,0.5345,0.5345
4,25,1.205,3,0.4018,0.4018
4,26,2.109,3,0.703,0.703
4,27,1.203,3,0.4009,0.4009
4,28,1.882,3,0.6275,0.6275
5,合計,11.743,18,0.6524,0.6524
5,29,1.424,3,0.4745,0.4745
5,30,2.329,3,0.7764,0.7764
5,31,1.836,3,0.6119,0.6119
5,32,2.258,3,0.7527,0.7527
5,33,2.094,3,0.698,0.698
5,34,1.802,3,0.6006,0.6006
問題区分＝本試験,人数＝2411,平均正答率＝0.4550,,,
科目＝日本史Ａ,総平均点＝45.38,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,10.343,22,0.4701,0.48
1,1,1.667,3,0.5558,0.5558
1,2,1.257,3,0.4189,0.4189
1,3,1.052,4,0.263,0.263
1,4,2.075,3,0.6918,0.6918
1,5,1.62,3,0.54,0.54
1,6,1.091,3,0.3637,0.3637
1,7,1.58,3,0.5268,0.5268
2,合計,6.445,12,0.5371,0.5371
2,8,1.641,3,0.5471,0.5471
2,9,1.043,3,0.3476,0.3476
2,10,2.165,3,0.7217,0.7217
2,11,1.596,3,0.5321,0.5321
3,合計,10.472,22,0.476,0.4814
3,12,1.865,3,0.6217,0.6217
3,13,0.928,3,0.3094,0.3094
3,14,1.654,3,0.5512,0.5512
3,15,1.784,3,0.5948,0.5948
3,16,0.912,3,0.304,0.304
3,17,1.88,3,0.6267,0.6267
3,18,1.448,4,0.3621,0.3621
4,合計,9.455,22,0.4298,0.4293
4,19,1.65,3,0.55,0.55
4,20,0.984,3,0.3281,0.3281
4,21,1.167,3,0.3891,0.3891
4,22,1.95,3,0.6499,0.6499
4,23,1.757,4,0.4392,0.4392
4,24,1.17,3,0.3899,0.3899
4,25,0.778,3,0.2592,0.2592
5,合計,8.666,22,0.3939,0.3824
5,26,1.246,3,0.4152,0.4152
5,27,1.366,3,0.4554,0.4554
5,28,0.667,3,0.2223,0.2223
5,29,0.484,3,0.1613,0.1613
5,30,1.013,3,0.3376,0.3376
5,31,1.344,3,0.4479,0.4479
5,32,2.547,4,0.6367,0.6367
問題区分＝本試験,人数＝137017,平均正答率＝0.6027,,,
科目＝日本史Ｂ,総平均点＝59.75,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,12.118,18,0.6732,0.6732
1,1,1.791,3,0.5969,0.5969
1,2,1.467,3,0.4891,0.4891
1,3,2.448,3,0.816,0.816
1,4,2.093,3,0.6977,0.6977
1,5,2.198,3,0.7327,0.7327
1,6,2.12,3,0.7068,0.7068
2,合計,10.873,16,0.6796,0.695
2,7,2.705,3,0.9017,0.9017
2,8,2.437,3,0.8122,0.8122
2,9,1.791,4,0.4477,0.4477
2,10,2.346,3,0.7821,0.7821
2,11,1.595,3,0.5315,0.5315
3,合計,6.867,16,0.4292,0.4222
3,12,2.135,4,0.5338,0.5338
3,13,1.461,3,0.4869,0.4869
3,14,0.274,3,0.0912,0.0912
3,15,1.156,3,0.3855,0.3855
3,16,1.841,3,0.6136,0.6136
4,合計,9.893,16,0.6183,0.6318
4,17,2.168,3,0.7227,0.7227
4,18,1.15,3,0.3834,0.3834
4,19,2.642,3,0.8808,0.8808
4,20,1.664,4,0.4159,0.4159
4,21,2.269,3,0.7562,0.7562
5,合計,8.328,12,0.694,0.694
5,22,2.267,3,0.7557,0.7557
5,23,1.85,3,0.6166,0.6166
5,24,2.359,3,0.7864,0.7864
5,25,1.852,3,0.6172,0.6172
6,合計,11.67,22,0.5305,0.5322
6,26,1.958,3,0.6526,0.6526
6,27,1.144,3,0.3815,0.3815
6,28,1.41,3,0.4699,0.4699
6,29,2.473,3,0.8244,0.8244
6,30,1.981,4,0.4952,0.4952
6,31,1.578,3,0.5261,0.5261
6,32,1.126,3,0.3754,0.3754
問題区分＝本試験,人数＝2062,平均正答率＝0.5473,,,
科目＝地理Ａ,総平均点＝55.19,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,11.209,20,0.5604,0.5576
1,1,1.493,3,0.4976,0.4976
1,2,0.674,3,0.2245,0.2245
1,3,1.451,4,0.3628,0.3628
1,4,3.234,4,0.8084,0.8084
1,5,2.139,3,0.7129,0.7129
1,6,2.219,3,0.7396,0.7396
2,合計,10.62,20,0.531,0.5109
2,7,1.225,3,0.4083,0.4083
2,8,2.399,3,0.7997,0.7997
2,9,0.908,2,0.4539,0.4539
2,10,0.859,2,0.4297,0.4297
2,11,0.733,3,0.2444,0.2444
2,12,1.401,3,0.467,0.467
2,13,3.094,4,0.7735,0.7735
3,合計,10.497,20,0.5249,0.5259
3,14,0.652,3,0.2173,0.2173
3,15,1.197,3,0.3991,0.3991
3,16,2.078,4,0.5194,0.5194
3,17,2.081,3,0.6935,0.6935
3,18,2.043,4,0.5107,0.5107
3,19,2.447,3,0.8157,0.8157
4,合計,11.86,20,0.593,0.5904
4,20,2.299,4,0.5747,0.5747
4,21,1.187,3,0.3957,0.3957
4,22,2.203,3,0.7342,0.7342
4,23,1.768,3,0.5892,0.5892
4,24,2.636,4,0.6591,0.6591
4,25,1.768,3,0.5892,0.5892
5,合計,11.002,20,0.5501,0.5575
5,26,1.209,3,0.403,0.403
5,27,2.23,3,0.7435,0.7435
5,28,1.783,4,0.4457,0.4457
5,29,2.083,4,0.5209,0.5209
5,30,1.429,3,0.4762,0.4762
5,31,2.268,3,0.7561,0.7561
問題区分＝本試験,人数＝139012,平均正答率＝0.6072,,,
科目＝地理Ｂ,総平均点＝60.46,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,11.79,20,0.5895,0.6058
1,1,2.104,3,0.7015,0.7015
1,2,1.589,3,0.5298,0.5298
1,3,2.794,4,0.6984,0.6984
1,4,1.739,2,0.8696,0.8696
1,5,1.522,2,0.761,0.761
1,6,0.634,3,0.2114,0.2114
1,7,1.406,3,0.4688,0.4688
2,合計,11.347,20,0.5673,0.5714
2,8,2.56,3,0.8533,0.8533
2,9,0.8,3,0.2668,0.2668
2,10,2.539,4,0.6348,0.6348
2,11,1.703,4,0.4258,0.4258
2,12,2.189,3,0.7297,0.7297
2,13,1.555,3,0.5182,0.5182
3,合計,11.651,20,0.5825,0.5734
3,14,1.379,3,0.4595,0.4595
3,15,2.563,3,0.8542,0.8542
3,16,1.797,4,0.4493,0.4493
3,17,3.521,4,0.8802,0.8802
3,18,1.556,3,0.5186,0.5186
3,19,0.836,3,0.2786,0.2786
4,合計,12.344,20,0.6172,0.6078
4,20,0.786,3,0.2621,0.2621
4,21,2.752,4,0.688,0.688
4,22,2.607,3,0.8689,0.8689
4,23,2.068,3,0.6895,0.6895
4,24,2.865,4,0.7163,0.7163
4,25,1.266,3,0.4219,0.4219
5,合計,13.33,20,0.6665,0.6779
5,26,1.744,3,0.5812,0.5812
5,27,2.652,3,0.884,0.884
5,28,2.193,4,0.5482,0.5482
5,29,2.317,4,0.5793,0.5793
5,30,1.889,3,0.6296,0.6296
5,31,2.536,3,0.8453,0.8453
問題区分＝本試験,人数＝64676,平均正答率＝0.5855,,,
科目＝現代社会,総平均点＝59.46,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.402,25,0.6561,0.6295
1,1,3.205,4,0.8014,0.8014
1,2,1.53,3,0.5099,0.5099
1,3,1.295,3,0.4318,0.4318
1,4,0.843,3,0.2809,0.2809
1,5,2.656,4,0.6639,0.6639
1,6,3.72,4,0.93,0.93
1,7,3.154,4,0.7884,0.7884
2,合計,11.523,22,0.5238,0.5344
2,8,2.076,3,0.6919,0.6919
2,9,2.548,3,0.8493,0.8493
2,10,1.887,3,0.6289,0.6289
2,11,2.132,3,0.7106,0.7106
2,12,0.871,3,0.2902,0.2902
2,13,0.812,3,0.2707,0.2707
2,14,1.198,4,0.2996,0.2996
3,合計,7.974,20,0.3987,0.3813
3,15,2.085,4,0.5213,0.5213
3,16,0.57,3,0.1899,0.1899
3,17,1.696,3,0.5652,0.5652
3,18,0.438,3,0.146,0.146
3,19,2.357,4,0.5893,0.5893
3,20,0.828,3,0.2759,0.2759
4,合計,15.279,22,0.6945,0.6967
4,21,1.947,3,0.6491,0.6491
4,22,2.43,3,0.81,0.81
4,23,2.446,3,0.8154,0.8154
4,24,1.874,3,0.6245,0.6245
4,25,1.644,3,0.548,0.548
4,26,2.342,3,0.7808,0.7808
4,27,2.596,4,0.649,0.649
5,合計,8.279,11,0.7526,0.751
5,28,3.195,4,0.7987,0.7987
5,29,2.199,3,0.7329,0.7329
5,30,2.885,4,0.7213,0.7213
問題区分＝本試験,人数＝19878,平均正答率＝0.5902,,,
科目＝倫理,総平均点＝59.02,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,15.037,24,0.6265,0.6265
1,1,0.648,3,0.2161,0.2161
1,2,2.157,3,0.7188,0.7188
1,3,2.37,3,0.7899,0.7899
