*** 令和６年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝433173,平均正答率＝0.6031,,,
科目＝国語,総平均点＝116.50,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,29.974,50,0.5995,0.6427
1,1,1.684,2,0.8421,0.8421
1,2,1.653,2,0.8266,0.8266
1,3,1.536,2,0.7679,0.7679
1,4,0.948,2,0.4742,0.4742
1,5,1.056,2,0.528,0.528
1,6,4.617,7,0.6596,0.6596
1,7,3.355,7,0.4793,0.4793
1,8,2.287,7,0.3267,0.3267
1,9,3.732,7,0.5331,0.5331
1,10,2.414,3,0.8048,0.8048
1,11,2.129,3,0.7096,0.7096
1,12,4.562,6,0.7604,0.7604
2,合計,34.957,50,0.6991,0.6888
2,13,1.874,3,0.6246,0.6246
2,14,2.892,3,0.9639,0.9639
2,15,0.848,3,0.2827,0.2827
2,16,4.177,5,0.8354,0.8354
2,17,4.162,6,0.6937,0.6937
2,18,5.036,7,0.7195,0.7195
2,19,5.05,7,0.7214,0.7214
2,20,4.1,6,0.6833,0.6833
2,21,3.514,5,0.7027,0.7027
2,22,3.304,5,0.6608,0.6608
3,合計,24.563,50,0.4913,0.4926
3,23,2.813,5,0.5625,0.5625
3,24,1.702,5,0.3404,0.3404
3,25,3.048,5,0.6096,0.6096
3,26,2.824,7,0.4034,0.4034
3,27,2.534,7,0.3621,0.3621
3,28,3.667,7,0.5238,0.5238
3,29,4.508,7,0.644,0.644
3,30,3.467,7,0.4953,0.4953
4,合計,27.001,50,0.54,0.5471
4,31,2.222,5,0.4444,0.4444
4,32,3.123,5,0.6246,0.6246
4,33,2.449,5,0.4899,0.4899
4,34,3.542,5,0.7084,0.7084
4,35,4.521,7,0.6459,0.6459
4,36,3.95,7,0.5642,0.5642
4,37,3.253,8,0.4066,0.4066
4,38,3.941,8,0.4926,0.4926
問題区分＝本試験,人数＝1214,平均正答率＝0.4207,,,
科目＝世界史Ａ,総平均点＝42.16,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,7.105,20,0.3553,0.3513
1,1,0.578,3,0.1928,0.1928
1,2,1.298,4,0.3245,0.3245
1,3,1.033,3,0.3443,0.3443
1,4,1.829,4,0.4572,0.4572
1,5,1.263,3,0.4209,0.4209
1,6,1.105,3,0.3682,0.3682
2,合計,7.379,20,0.3689,0.3723
2,7,1.746,4,0.4366,0.4366
2,8,1.065,3,0.355,0.355
2,9,1.374,3,0.458,0.458
2,10,0.962,4,0.2405,0.2405
2,11,1.114,3,0.3715,0.3715
