*** 令和７年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝437209,平均正答率＝0.6411,,,
科目＝国語,総平均点＝126.67,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,30.033,45,0.6674,0.684
1,1,1.846,2,0.923,0.923
1,2,0.553,2,0.2766,0.2766
1,3,1.196,2,0.5978,0.5978
1,4,1.793,2,0.8967,0.8967
1,5,1.75,2,0.875,0.875
1,6,4.745,7,0.6778,0.6778
1,7,5.102,7,0.7288,0.7288
1,8,3.652,7,0.5218,0.5218
1,9,3.84,7,0.5486,0.5486
1,10,5.556,7,0.7937,0.7937
2,合計,33.062,45,0.7347,0.7397
2,11,4.592,6,0.7654,0.7654
2,12,4.752,6,0.792,0.792
2,13,4.467,6,0.7445,0.7445
2,14,5.703,7,0.8147,0.8147
2,15,3.3,7,0.4715,0.4715
2,16,5.29,6,0.8816,0.8816
2,17,4.958,7,0.7082,0.7082
3,合計,13.201,20,0.6601,0.6616
3,18,3.417,4,0.8544,0.8544
3,19,3.52,5,0.7039,0.7039
3,20,2.539,5,0.5079,0.5079
3,21,1.719,3,0.573,0.573
3,22,2.006,3,0.6687,0.6687
4,合計,25.841,45,0.5742,0.5817
4,23,2.834,5,0.5667,0.5667
4,24,3.062,5,0.6124,0.6124
4,25,3.665,5,0.733,0.733
4,26,3.092,7,0.4417,0.4417
4,27,3.904,7,0.5578,0.5578
4,28,4.807,8,0.6008,0.6008
4,29,4.478,8,0.5597,0.5597
5,合計,24.531,45,0.5451,0.5515
5,30,2.645,4,0.6614,0.6614
5,31,2.774,4,0.6934,0.6934
5,32,3.119,4,0.7798,0.7798
5,33,3.909,7,0.5584,0.5584
5,34,3.868,6,0.6447,0.6447
5,35,0.886,6,0.1476,0.1476
5,36,1.369,3,0.4563,0.4563
5,37,1.328,3,0.4427,0.4427
5,38,4.633,8,0.5791,0.5791
問題区分＝本試験,人数＝125622,平均正答率＝0.5849,,,
科目＝地理総合，地理探究,総平均点＝57.48,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.433,13,0.6487,0.6533
1,1,2.69,3,0.8967,0.8967
1,2,1.348,3,0.4495,0.4495
1,3,2.373,4,0.5934,0.5934
1,4,2.021,3,0.6737,0.6737
2,合計,6.252,12,0.521,0.521
2,5,2.129,3,0.7097,0.7097
2,6,1.695,3,0.5651,0.5651
2,7,0.722,3,0.2406,0.2406
2,8,1.706,3,0.5686,0.5686
3,合計,11.414,20,0.5707,0.5843
3,9,2.446,4,0.6115,0.6115
3,10,1.517,3,0.5056,0.5056
3,11,2.023,3,0.6742,0.6742
3,12,1.652,3,0.5507,0.5507
3,13,1.14,4,0.2851,0.2851
3,14,2.636,3,0.8787,0.8787
4,合計,11.052,21,0.5263,0.5446
4,15,2.074,3,0.6913,0.6913
4,16,1.133,4,0.2832,0.2832
4,17,1.703,4,0.4258,0.4258
4,18,1.671,3,0.557,0.557
4,19,2.31,3,0.7699,0.7699
4,20,2.162,4,0.5405,0.5405
5,合計,11.497,17,0.6763,0.673
5,21,1.773,3,0.5911,0.5911
5,22,2.549,4,0.6373,0.6373
5,23,1.413,3,0.4712,0.4712
5,24,3.056,4,0.764,0.764
5,25,2.705,3,0.9016,0.9016
6,合計,8.83,17,0.5194,0.5422
6,26,0.808,4,0.2021,0.2021
6,27,2.052,3,0.6841,0.6841
6,28,1.976,4,0.4941,0.4941
6,29,1.845,3,0.6152,0.6152
6,30,2.147,3,0.7158,0.7158
問題区分＝本試験,人数＝114599,平均正答率＝0.5675,,,
科目＝歴史総合，日本史探究,総平均点＝56.99,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,14.72,25,0.5888,0.5796
1,1,0.96,3,0.3201,0.3201
1,2,1.202,3,0.4006,0.4006
1,3,1.971,3,0.6571,0.6571
1,4,1.363,3,0.4543,0.4543
1,5,2.438,3,0.8127,0.8127
1,6,2.401,3,0.8003,0.8003
1,7,1.142,3,0.3808,0.3808
1,8,3.242,4,0.8106,0.8106
2,合計,8.983,15,0.5989,0.5989
2,9,1.682,3,0.5606,0.5606
2,10,2.282,3,0.7606,0.7606
2,11,1.732,3,0.5774,0.5774
2,12,1.163,3,0.3877,0.3877
2,13,2.124,3,0.708,0.708
3,合計,8.129,15,0.5419,0.5419
3,14,1.645,3,0.5484,0.5484
3,15,2.098,3,0.6994,0.6994
3,16,1.395,3,0.465,0.465
3,17,1.048,3,0.3494,0.3494
3,18,1.942,3,0.6475,0.6475
4,合計,8.81,15,0.5874,0.5874
4,19,1.749,3,0.5831,0.5831
4,20,2.188,3,0.7292,0.7292
4,21,1.569,3,0.5229,0.5229
4,22,1.002,3,0.3338,0.3338
4,23,2.303,3,0.7677,0.7677
5,合計,10.174,15,0.6783,0.6783
5,24,2.315,3,0.7716,0.7716
5,25,2.899,3,0.9665,0.9665
5,26,1.144,3,0.3814,0.3814
5,27,2.605,3,0.8683,0.8683
5,28,1.211,3,0.4036,0.4036
6,合計,6.173,15,0.4115,0.4115
6,29,1.153,3,0.3845,0.3845
6,30,1.61,3,0.5367,0.5367
6,31,1.629,3,0.543,0.543
6,32,0.806,3,0.2688,0.2688
6,33,0.974,3,0.3247,0.3247
問題区分＝本試験,人数＝69273,平均正答率＝0.6542,,,
科目＝歴史総合，世界史探究,総平均点＝66.12,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,18.151,25,0.726,0.7236
1,1,2.404,3,0.8013,0.8013
1,2,3.138,4,0.7845,0.7845
1,3,2.283,3,0.761,0.761
1,4,1.984,3,0.6612,0.6612
1,5,1.252,3,0.4173,0.4173
1,6,2.443,3,0.8143,0.8143
1,7,2.168,3,0.7226,0.7226
1,8,2.48,3,0.8265,0.8265
2,合計,10.439,20,0.5219,0.5228
2,9,1.796,3,0.5986,0.5986
2,10,1.168,3,0.3894,0.3894
2,11,1.041,3,0.3469,0.3469
2,12,1.009,2,0.5043,0.5043
2,13,1.096,2,0.5482,0.5482
2,14,2.278,3,0.7593,0.7593
2,15,2.051,4,0.5128,0.5128
3,合計,12.604,21,0.6002,0.602
3,16,3.137,4,0.7841,0.7841
3,17,1.434,2,0.7172,0.7172
3,18,2.034,3,0.6778,0.6778
3,19,1.115,2,0.5576,0.5576
3,20,1.024,2,0.512,0.512
3,21,3.056,4,0.7639,0.7639
3,22,0.805,4,0.2013,0.2013
4,合計,11.218,16,0.7011,0.693
4,23,2.453,3,0.8175,0.8175
4,24,3.292,4,0.823,0.823
4,25,2.15,3,0.7165,0.7165
4,26,1.433,3,0.4777,0.4777
4,27,1.891,3,0.6303,0.6303
5,合計,13.708,18,0.7616,0.7617
5,28,2.176,4,0.544,0.544
5,29,2.217,3,0.7389,0.7389
5,30,3.284,4,0.821,0.821
5,31,2.36,3,0.7866,0.7866
5,32,3.672,4,0.9179,0.9179
問題区分＝本試験,人数＝167,平均正答率＝0.4459,,,
科目＝旧世界史Ａ,総平均点＝44.51,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.084,20,0.4042,0.4022
1,1,0.485,3,0.1617,0.1617
1,2,1.461,4,0.3653,0.3653
1,3,0.934,3,0.3114,0.3114
1,4,1.916,4,0.479,0.479
1,5,1.689,3,0.5629,0.5629
1,6,1.599,3,0.5329,0.5329
2,合計,12.539,30,0.418,0.4138
2,7,1.341,4,0.3353,0.3353
2,8,1.132,3,0.3772,0.3772
2,9,1.689,3,0.5629,0.5629
2,10,0.898,3,0.2994,0.2994
2,11,1.126,4,0.2814,0.2814
2,12,0.467,3,0.1557,0.1557
2,13,1.275,3,0.4251,0.4251
2,14,2.994,4,0.7485,0.7485
2,15,1.617,3,0.5389,0.5389
3,合計,10.976,20,0.5488,0.5509
3,16,2.228,4,0.5569,0.5569
3,17,1.958,3,0.6527,0.6527
3,18,1.778,3,0.5928,0.5928
3,19,2.012,4,0.503,0.503
3,20,2.102,3,0.7006,0.7006
3,21,0.898,3,0.2994,0.2994
4,合計,12.91,30,0.4303,0.4371
4,22,1.15,4,0.2874,0.2874
4,23,1.311,3,0.4371,0.4371
4,24,1.293,3,0.4311,0.4311
4,25,1.461,4,0.3653,0.3653
4,26,1.006,3,0.3353,0.3353
4,27,1.617,3,0.5389,0.5389
4,28,1.82,4,0.4551,0.4551
4,29,1.329,3,0.4431,0.4431
4,30,1.922,3,0.6407,0.6407
問題区分＝本試験,人数＝7971,平均正答率＝0.6776,,,
科目＝旧世界史Ｂ,総平均点＝68.20,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,12.853,21,0.6121,0.6121
1,1,2.274,3,0.758,0.758
1,2,1.368,3,0.4559,0.4559
1,3,1.731,3,0.5771,0.5771
1,4,2.146,3,0.7152,0.7152
1,5,1.722,3,0.5741,0.5741
1,6,1.371,3,0.4569,0.4569
1,7,2.242,3,0.7472,0.7472
2,合計,13.601,19,0.7158,0.7094
2,8,2.578,3,0.8594,0.8594
2,9,2.213,3,0.7377,0.7377
2,10,1.656,3,0.5519,0.5519
2,11,2.593,3,0.8643,0.8643
2,12,1.233,3,0.4111,0.4111
2,13,3.328,4,0.832,0.832
3,合計,17.952,26,0.6905,0.6841
3,14,2.301,3,0.767,0.767
3,15,2.023,3,0.6742,0.6742
3,16,1.808,3,0.6026,0.6026
3,17,2.035,3,0.6785,0.6785
3,18,2.312,3,0.7708,0.7708
3,19,2.433,3,0.8111,0.8111
3,20,2.221,3,0.7403,0.7403
3,21,1.038,2,0.5188,0.5188
3,22,1.781,3,0.5938,0.5938
4,合計,10.744,15,0.7162,0.7162
4,23,1.939,3,0.6463,0.6463
4,24,2.121,3,0.7071,0.7071
4,25,2.382,3,0.794,0.794
4,26,1.784,3,0.5948,0.5948
4,27,2.517,3,0.839,0.839
5,合計,13.051,19,0.6869,0.6804
5,28,2.304,3,0.7679,0.7679
5,29,1.447,3,0.4825,0.4825
5,30,2.173,3,0.7243,0.7243
5,31,3.213,4,0.8033,0.8033
5,32,1.446,3,0.4821,0.4821
5,33,2.467,3,0.8225,0.8225
問題区分＝本試験,人数＝282,平均正答率＝0.5390,,,
科目＝旧日本史Ａ,総平均点＝53.95,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,11.004,22,0.5002,0.498
1,1,1.223,3,0.4078,0.4078
1,2,1.606,3,0.5355,0.5355
1,3,2.128,3,0.7092,0.7092
1,4,0.798,3,0.266,0.266
1,5,1.138,3,0.3794,0.3794
1,6,2.184,4,0.5461,0.5461
1,7,1.926,3,0.6418,0.6418
2,合計,6.713,12,0.5594,0.5594
2,8,1.415,3,0.4716,0.4716
2,9,1.436,3,0.4787,0.4787
2,10,1.351,3,0.4504,0.4504
2,11,2.511,3,0.8369,0.8369
3,合計,11.135,22,0.5061,0.5172
3,12,0.5,3,0.1667,0.1667
3,13,1.489,3,0.4965,0.4965
3,14,2.436,3,0.8121,0.8121
3,15,2.064,3,0.6879,0.6879
3,16,1.117,3,0.3723,0.3723
3,17,1.092,4,0.273,0.273
3,18,2.436,3,0.8121,0.8121
4,合計,12.759,22,0.5799,0.5816
4,19,2.34,3,0.7801,0.7801
4,20,0.989,3,0.3298,0.3298
4,21,2.064,3,0.6879,0.6879
